,stock_large,stock_small,bond,stock_HongKong,stock_US
2005/5/11,-1.2294,-0.7967,0.0857,-0.5605,0.4193
2005/5/12,-1.7776,-0.5003,-0.0285,0.2043,-1.0033
2005/5/13,0.1945,0.9124,0.1618,-0.7264,-0.458
2005/5/16,-1.3827,-0.8231,0.2186,,1.0086
2005/5/17,0.7073,1.2725,0.0284,-1.4407,0.6957
2005/5/18,0.1967,0.7561,0.1517,-0.2928,1.0019
2005/5/19,0.1104,0.036,0.0473,0.5278,0.4656
2005/5/20,-0.1592,-0.7043,0.2271,0.135,-0.1511
2005/5/23,-2.2001,-3.1016,0.1605,-0.1333,0.3851
2005/5/24,0.5925,1.8922,-0.0094,0.1474,0.0176
2005/5/25,-0.0006,0.118,-0.0283,-1.1463,-0.34
2005/5/26,-1.2804,-1.3181,0.1037,0.0585,0.6395
2005/5/27,-0.9125,-1.0045,-0.0471,1.067,0.0969
2005/5/30,0.7185,0.826,-0.066,0.9502,
2005/5/31,0.039,-0.0828,0.0189,0.1587,-0.6073
2005/6/1,-2.1513,-2.2838,0.1131,0.0433,0.9039
2005/6/2,-2.2868,-1.1882,0.0094,-0.4216,0.168
2005/6/3,-0.0423,-0.4489,0,0.028,-0.6867
2005/6/6,2.5627,1.5984,0.0188,0.3047,0.1246
2005/6/7,-0.2044,0.21,0.0753,-0.1678,-0.0209
2005/6/8,8.1802,7.8882,0.0753,0.4427,-0.2163
2005/6/9,0.7542,0.9942,0.094,-0.0017,0.524
2005/6/10,-1.9776,-2.1325,0.1315,0.2623,-0.2348
2005/6/13,-0.1785,0.3183,0.1594,0.1239,0.2262
2005/6/14,-1.0551,-1.9252,0.2154,-0.3384,0.2573
2005/6/15,-1.8905,-2.6804,0.1402,0.0682,0.2218
2005/6/16,1.4308,0.9651,0.1213,-0.5805,0.363
2005/6/17,0.126,-0.4737,0.1864,0.5675,0.4955
2005/6/20,2.9432,2.949,0.0372,0.2425,-0.0707
2005/6/21,-1.1133,-0.9149,0.0372,0.2408,-0.2048
2005/6/22,0.4999,0.3002,0.2045,1.2996,0.0222
2005/6/23,-0.7854,-1.136,-0.0093,0.2078,-1.0833
2005/6/24,0.5292,0.4764,0.0371,0.2808,-0.7629
2005/6/27,1.9751,2.6,0.0185,-0.3812,-0.0739
2005/6/28,-1.3457,-1.8338,0.0278,0.7858,0.9138
2005/6/29,-0.5331,-0.6083,0.0185,-0.0711,-0.1431
2005/6/30,-2.2485,-2.7715,0.0649,-0.5339,-0.7101
2005/7/1,-2.1842,-3.9356,0.0093,,0.2611
2005/7/4,-0.4144,-1.4295,0,-0.1633,
2005/7/5,-0.7305,-0.6522,0.1297,-0.3743,0.8833
2005/7/6,-0.8383,-0.1546,0.111,0.1779,-0.834
2005/7/7,0.2579,0.5345,0.0924,-0.8418,0.2452
2005/7/8,-1.8041,-3.2865,0.1661,-0.4728,1.1679
2005/7/11,-0.65,-1.1592,0.0276,1.3804,0.6255
2005/7/12,3.3636,3.5073,0.1198,-0.0727,0.2272
2005/7/13,-0.6557,-0.9588,0.2484,1.1335,0.0884
2005/7/14,0.3969,0.0138,0.0918,1.2877,0.2624
2005/7/15,-1.011,-2.4648,0.0092,0.088,0.1158
2005/7/18,-0.952,-2.4689,0.0367,0.4324,-0.553
2005/7/19,0.3137,0.8923,0.0458,0.0051,0.6731
2005/7/20,0.8417,0.6012,0.0641,0.24,0.4759
2005/7/21,0.1597,-0.3542,-0.0092,0.1194,-0.6606
2005/7/22,1.8609,2.3634,0.0183,1.1376,0.5411
2005/7/25,-0.3295,-0.3573,0.1831,0.0512,-0.3769
2005/7/26,2.2898,2.364,0.064,-0.1629,0.1733
2005/7/27,2.0003,1.9235,0.1735,0.2162,0.4573
2005/7/28,-0.3498,-0.3713,0.0456,0.0774,0.5603
2005/7/29,-0.3054,-0.3219,0.0729,0.4568,-0.7671
2005/8/1,0.3877,0.7603,0.0911,0.6579,0.0948
2005/8/2,1.3449,1.7058,0.0455,1.0562,0.7099
2005/8/3,0.6609,0.8466,-0.0637,-0.1227,0.0739
2005/8/4,-0.5959,-0.5833,-0.0637,-0.046,-0.7373
2005/8/5,2.1736,2.9476,0.0637,-0.3985,-0.7638
2005/8/8,0.3971,1.561,-0.091,0.3828,-0.2683
2005/8/9,0.6057,1.7584,0.0273,-0.4044,0.6745
2005/8/10,0.7803,1.1856,-0.0182,1.9841,-0.1827
2005/8/11,1.4486,1.0927,-0.1275,0.6437,0.7062
2005/8/12,-1.6432,-1.9758,0.0456,0.0372,-0.5994
2005/8/15,1.725,2.8517,0.0638,0.0978,0.2828
2005/8/16,-0.9894,-0.048,0.0455,-0.1451,-1.1776
2005/8/17,0.8416,1.8185,0,0.0386,0.0738
2005/8/18,-3.3936,-3.9627,-0.0091,-1.9514,-0.1
2005/8/19,0.2571,0.025,0.0819,-0.7227,0.0566
